Student,Team,Fork,Java,Test,UG,Marks
andrewome,F09,1,2,5,0,2
angwm,F09,1,1,2,0,2
derpyplops,F09,1,0,0,0,0
kianhong95,F09,1,1,2,0,2
px1099,F09,1,2,0,1,2
leerachel,F09,1,1,0,0,2
salsabiltasnia,F09,1,1,0,0,2
sandhyagopakumar,F09,1,2,0,0,2
sanjukta99,F09,1,3,0,0,2
sarahtaaherbonna,F09,1,1,0,0,2
mingxunseah,F09,1,1,0,0,2
sxqnicholas96,F09,1,12,3,0,2
ladderinc,F09,1,1,1,0,2
aaryamnus,F09,1,1,0,0,2
chocological,F09,1,7,0,0,2
kianmengtan,F09,1,1,0,0,2
kronicler,F09,0,0,0,0,0
wm28,F09,1,1,5,0,2
kangmingtay,F09,1,1,0,0,2
lucdx,F10,1,1,0,0,2
andyrobert3,F10,1,1,0,0,2
meg1456,F10,1,6,0,0,2
micklwl,F10,1,8,2,0,2
muhdharun,F10,1,1,0,0,2
meisbokai,F10,1,1,0,0,2
0wn463,F10,1,1,0,0,2
nichpang1,F10,1,4,0,0,2
ongjiajian,F10,1,2,0,0,2
ongweekeong,F10,1,3,0,0,2
c-e-ooi,F10,1,1,0,0,2
iamputradanish,F10,1,3,0,0,2
shreyaskp,F10,1,1,3,0,2
keithtqs,F10,1,1,0,0,2
