Student,Team,Fork,Java,Test,UG,Marks
allenzb,T09,1,2,0,0,2
amirulmaricar,T13,1,3,0,0,2
arty9,T09,1,1,0,0,2
brandonccm1996,T12,1,5,2,0,2
chensongjian,T13,1,2,0,0,2
chewkahmeng,T12,1,1,0,0,2
chewkinwhye,T12,1,1,0,0,2
chiaxr,T12,1,2,2,0,2
chokxy,T12,0,0,0,0,2
chuazhenwei,T16,1,1,0,0,2
clara1234566,T13,1,1,0,0,2
cqinkai,T12,1,0,0,0,2
darylnigel,T09,1,1,0,0,2
daryltew,T13,1,2,0,0,2
davindran,T12,1,0,0,0,0
dyeosy98,T13,0,0,0,0,0
e0176882,T13,1,2,0,0,2
e0191729,T13,1,4,0,0,2
fr3ddy4,T16,1,3,0,0,2
ftywan,T09,1,1,0,0,2
gaoqikai,T12,1,1,0,0,2
garagaristahir,T13,1,1,0,0,2
garyheng,T13,1,2,0,0,2
geraldcdx,T12,1,2,4,0,2
hafizuddin-nus,T16,1,1,0,0,2
hanskoh,T13,1,2,0,0,2
harriuscai,T16,1,1,1,0,2
HeHaowei,T12,1,0,0,0,2
hyukiejun,T09,1,1,0,0,2
ian-tjahjono,T13,0,0,0,0,0
icedcoffeeboy,T16,1,2,2,0,2
jamesyaputra,T12,1,6,4,0,2
jeevz10,T16,1,1,0,0,2
jieliangang,T16,1,1,2,0,2
jomcruz93,T16,1,1,1,0,2
jylee-git,T16,1,1,0,0,2
kelvintankaiboon,T12,1,2,3,0,2
limyisheng,T16,1,1,0,0,2
luhan02,T13,1,1,0,0,2
m-aslam-mj2,T16,1,2,3,2,2
meowzz95,T13,1,2,0,0,2
nguyenngoclinhchi,T09,1,3,0,0,2
novin997,T13,1,3,0,0,2
oscar zeng,T09,0,0,0,0,0
parask26,T13,1,1,0,0,2
perrythewang,T16,1,7,6,0,2
pinjuen,T16,1,1,0,0,2
psyf,T09,1,5,0,0,2
qzsg,T13,1,4,4,0,2
rajdeepsh,T13,1,4,0,0,2
ryanchen2018,T16,1,1,0,0,2
shiningggg,T09,1,0,0,0,0
shouteck,T13,1,3,0,0,2
sijieg,T13,1,3,0,0,2
speezy37,T16,1,3,1,0,2
t0roloco,T13,1,1,0,0,2
tztzt,T09,1,4,0,0,2
tenvinc,T09,1,3,2,0,2
teojunjie,T09,1,1,0,0,2
tertium3,T12,0,0,0,0,0
tristyxxnana,T16,1,1,2,0,2
trufflepirate,T09,1,1,2,0,2
tsuweiquan,T13,1,7,0,0,2
woonhian,T16,1,3,0,0,2
xhxh96,T12,1,1,0,0,2
xiaoyunhan,T09,1,1,0,0,2
xiiaopanda,T16,1,1,0,0,2
xinshenzi,T09,0,0,0,0,0
xllx1,T13,1,2,0,0,2
xshaivan,T12,1,1,0,0,2
yicheng12,T13,1,1,0,0,2
za-yn,T09,1,1,0,0,2
zhicaizack,T16,1,1,2,1,2
zhihong8888,T16,1,1,0,0,2
