Student,Team,Fork,Java,Test,UG,Marks
shuanang,W13,1,1,1,0,2
arjo129,W13,1,2,3,0,2
jeremyinelysium,W13,1,0,0,0,0
emobeany,W13,1,1,5,1,2
bennchong,W13,1,1,1,0,2
chanchuncheong,W13,1,2,1,0,2
chelseyong,W13,1,2,2,0,2
cjinting-nus,W13,1,1,0,0,2
cjunxiang,W13,1,1,0,0,2
kennethcsj,W13,1,1,0,0,2
alexiscatnip,W13,1,1,0,0,2
kohjunkiat,W13,1,4,1,2,2
guiyong96,W13,1,1,0,0,2
tttaus,W13,1,2,0,0,2
nianfei97,W13,1,1,1,1,2
iashcole,W13,1,1,0,0,2
linnnruoo,W12,1,1,0,0,2
driedmelon,W12,1,1,0,0,2
elstonayx,W12,1,1,0,1,2
bearperson1,W12,1,2,6,0,2
bluein-green,W12,1,3,2,0,2
leegengyu,W12,1,2,1,0,2
lekoook,W12,1,3,1,0,2
lws803,W12,1,2,0,0,2
scottljw,W12,1,1,0,1,2
jitwei98,W12,1,10,6,0,2
limminghong,W12,1,2,0,0,2
peiying98,W12,0,0,0,0,0
lunastryke,W12,1,1,0,0,2
e0201942,W12,1,2,0,0,2
auskure,W12,1,3,2,0,2
lowginwee,W12,1,1,0,0,2
junweiljw,W12,1,1,0,0,2
liu-tianhang,W12,1,1,1,0,2
