Student,Team,Java,UG,DG,Test,Junit,Peer_Review
0wn463,F10-1,9,1,0,1,1,1
aaryamnus,F09-3,15,2,0,4,0,1
andrewome,F09-4,8,2,0,8,0,1
andyrobert3,F10-3,6,1,0,0,0,0
angwm,F09-2,3,1,0,2,0,1
c-e-ooi,F10-2,3,0,0,2,0,1
chocological,F09-1,3,1,0,3,0,1
derpyplops,F09-1,3,0,0,0,0,1
iamputradanish,F10-3,4,0,0,0,0,0
kangmingtay,F09-2,1,1,0,1,0,1
keithtqs,F10-2,2,1,0,1,0,1
kianhong95,F09-2,1,1,0,2,0,1
kianmengtan,F09-4,1,1,0,2,0,1
kronicler,F09-3,8,1,0,3,1,1
ladderinc,F09-1,1,0,0,1,0,1
leerachel,F09-4,3,1,0,2,1,0
lucdx,F10-1,0,0,0,0,0,0
meg1456,F10-1,3,1,0,2,1,1
meisbokai,F10-1,1,0,0,0,0,1
micklwl,F10-1,26,1,0,13,11,1
mingxunseah,F09-4,6,1,0,3,1,1
muhdharun,F10-3,13,1,0,0,0,0
nichpang1,F10-2,3,1,0,2,0,1
ongjiajian,F10-2,3,1,0,1,0,1
ongweekeong,F10-3,10,1,0,0,0,0
px1099,F09-2,8,1,0,5,4,1
salsabiltasnia,F09-2,3,1,0,2,1,1
sandhyagopakumar,F09-3,2,1,0,2,0,1
sanjukta99,F09-1,3,1,0,1,1,1
sarahtaaherbonna,F09-3,4,1,0,2,1,1
shreyaskp,F10-3,12,1,0,1,1,0
sxqnicholas96,F09-4,32,1,0,8,6,1
wm28,F09-3,3,0,0,0,0,1
