Student,Team,Java,UG,DG,Test,Junit,Peer_Review
alexiscatnip,W13-1,3,1,0,3,1,1
arjo129,W13-2,3,1,0,2,0,0
auskure,W12-2,7,1,0,2,0,1
bearperson1,W12-2,2,0,0,2,0,1
bennchong,W13-1,9,1,0,5,4,1
bluein-green,W12-4,5,1,0,2,0,1
chanchuncheong,W13-3,1,1,0,1,0,1
chelseyong,W13-3,6,1,0,3,1,1
cjinting-nus,W13-1,1,1,0,0,0,1
cjunxiang,W13-2,3,1,0,2,0,0
driedmelon,W12-1,2,1,0,2,0,1
e0201942,W12-2,4,1,0,4,0,1
elstonayx,W12-1,1,1,0,2,0,1
emobeany,W13-3,2,1,0,3,1,1
guiyong96,W13-4,3,1,0,2,0,1
iashcole,W13-4,0,0,0,0,0,0
jeremyinelysium,W13-3,1,1,0,3,0,1
jitwei98,W12-1,6,1,0,2,0,1
junweiljw,W12-1,3,1,0,2,0,1
kennethcsj,W13-4,6,1,0,3,1,1
kohjunkiat,W13-4,4,1,0,1,0,1
leegengyu,W12-2,1,1,0,0,0,1
lekoook,W12-3,0,0,0,0,0,0
limminghong,W12-3,2,1,0,1,0,0
linnnruoo,W12-1,14,1,1,0,0,0
liu-tianhang,W12-5,1,1,0,1,0,1
lowginwee,W12-3,15,1,0,10,8,1
lunastryke,W12-4,3,1,0,2,0,1
lws803,W12-3,6,1,1,2,0,1
nianfei97,W13-1,4,1,0,2,1,1
peiying98,W12-3,0,0,0,0,0,0
scottljw,W12-4,0,0,0,0,0,0
shuanang,W13-2,2,1,0,1,0,0
tttaus,W13-2,0,0,0,0,0,0
