"TA","Pending"
"jordancjq","[]"
"marlenekoh","[]"
"stephlewyh","['https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/189', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/188', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/187', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/182', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/35', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/13', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/123', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/116', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/134', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/111', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/91', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/88', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/40', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/12', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/24', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/22', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/15', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/40', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/41', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/43', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/42']"
"sri-vatsa","[]"
"fanyiii","['https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/181', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/177', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/154', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/7', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/52', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/8', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/11']"
"devamanyu","['https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/128', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/60']"
"rubap","[]"
"ewaldhew","[]"
"nishantbudhdev","['https://github.com/nusCS2113-AY1819S1/addressbook-level1/pull/10', 'https://github.com/nusCS2113-AY1819S1/addressbook-level1/pull/9', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/166', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/168', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/171', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/145', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/146', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/153', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/125', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/21', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/30', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/42', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/51', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/105', 'https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/45', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/31', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/28']"
"okkhoy","['https://github.com/nusCS2113-AY1819S1/addressbook-level2/pull/62']"
"ct15","[]"
